Species,Growth_rate,Colony_fecundity,Colony_area,Polyps_per_area,Polyp_fecundity,Eggs_per_area,Colony_maximum_diameter,Corallite_width_minimum,Corallite_width_maximum,GrowthForm_CTD,Abund_CTD,MeanPCcover,family_molecules,family_morphology,larval
Acropora squarrosa,NA,NA,NA,NA,NA,NA,NA,0.4,0.8,NA,NA,NA,NA,NA,NA
Acropora stoddarti,NA,NA,NA,NA,NA,NA,200,0.7,1.3,NA,NA,NA,NA,NA,NA
Acropora striata,NA,NA,NA,NA,NA,NA,NA,0.8,1.1,branching_closed,rare,0.184,Acroporidae,Acroporidae,spawner
Acropora subglabra,NA,NA,NA,NA,NA,NA,NA,0.3,0.8,hispidose,uncommon,0.306,Acroporidae,Acroporidae,NA
Acropora subulata,NA,NA,NA,NA,NA,NA,250,0.8,1.2,tables_or_plates,common,0.283,Acroporidae,Acroporidae,spawner
Acropora suharsonoi,NA,NA,NA,NA,NA,NA,NA,0.6,0.8,corymbose,uncommon,0.04,Acroporidae,Acroporidae,NA
Acropora tanegashimensis,NA,NA,NA,NA,NA,NA,NA,0.6,0.8,NA,NA,NA,NA,NA,NA
Acropora tenella,NA,NA,NA,NA,NA,NA,NA,0.5,0.8,NA,NA,NA,NA,NA,NA
Acropora tenuis,NA,NA,NA,NA,NA,NA,NA,0.8,1.2,corymbose,uncommon,0.219,Acroporidae,Acroporidae,spawner
Acropora teres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora tizardi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isopora togianensis,NA,NA,NA,NA,NA,NA,150,0.8,1.2,NA,NA,NA,NA,NA,NA
Acropora torihalimeda,NA,NA,NA,NA,NA,NA,NA,0.8,0.8,NA,NA,NA,NA,NA,NA
Acropora torresiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora tortuosa,NA,NA,NA,NA,NA,NA,NA,1,1.3,branching_closed,uncommon,0.117,Acroporidae,Acroporidae,spawner
Acropora tumida,8.3,NA,NA,NA,NA,NA,200,1.2,1.4,NA,NA,NA,NA,NA,NA
Acropora turaki,NA,NA,NA,NA,NA,NA,200,0.4,0.8,NA,NA,NA,NA,NA,NA
Acropora tutuilensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora valenciennesi,179.33333333333334,NA,NA,NA,NA,NA,333.3333333333333,0.8,1.5,branching_open,common,0.542,Acroporidae,Acroporidae,spawner
Acropora valida,34.3,NA,NA,NA,NA,NA,50,0.5,0.9,corymbose,common,0.548,Acroporidae,Acroporidae,spawner
Acropora variabilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora variolosa,NA,NA,NA,NA,NA,NA,NA,0.7,1.2,NA,NA,NA,NA,NA,NA
Acropora vaughani,NA,NA,NA,NA,NA,NA,NA,0.5,1.1,NA,NA,NA,NA,NA,NA
Acropora vermiculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora verweyi,NA,NA,NA,NA,NA,NA,NA,0.8,1.1,corymbose,common,0.054,Acroporidae,Acroporidae,NA
Acropora walindii,NA,NA,NA,NA,NA,NA,100,0.3,0.5,NA,NA,NA,NA,NA,NA
Acropora willisae,NA,NA,NA,NA,NA,NA,70,0.2,1,NA,NA,NA,NA,NA,NA
Acropora yongei,59.34,NA,NA,NA,NA,NA,200,0.8,1.2,branching_closed,common,0.324,Acroporidae,Acroporidae,spawner
Agaricia agaricites,2.7816923076923077,NA,NA,NA,NA,NA,34.955,3,5.5,NA,NA,NA,NA,NA,NA
Agaricia fragilis,NA,NA,NA,NA,NA,NA,4.74,3.5,5,NA,NA,NA,NA,NA,NA
Agaricia grahamae,NA,NA,NA,NA,NA,NA,NA,4.7,6.5,NA,NA,NA,NA,NA,NA
Agaricia humilis,NA,NA,NA,NA,NA,NA,12,1.6,6,NA,NA,NA,NA,NA,NA
Agaricia lamarcki,4.833333333333333,NA,NA,NA,NA,NA,11.21,4.6,7.9,NA,NA,NA,NA,NA,NA
Agaricia tenuifolia,NA,NA,NA,NA,NA,NA,NA,3.5,5.1,NA,NA,NA,NA,NA,NA
Agaricia undata,NA,NA,NA,NA,NA,NA,NA,3.3,6,NA,NA,NA,NA,NA,NA
Alveopora allingi,NA,NA,NA,NA,NA,NA,NA,2.4,3.7,columnar,uncommon,0.01,Acroporidae,Poritidae,NA
Alveopora catalai,NA,NA,NA,NA,NA,NA,833.3333333333334,2,4.1,NA,NA,NA,NA,NA,NA
Alveopora daedalea,NA,NA,NA,NA,NA,NA,NA,1.5,2.2,NA,NA,NA,NA,NA,NA
Alveopora excelsa,NA,NA,NA,NA,NA,NA,200,1.7,2,NA,NA,NA,NA,NA,NA
Alveopora fenestrata,NA,NA,NA,NA,NA,NA,NA,2.4,3.4,NA,NA,NA,NA,NA,NA
Alveopora gigas,NA,NA,NA,NA,NA,NA,NA,2,6.6,columnar,uncommon,0.083,Acroporidae,Poritidae,spawner
Alveopora japonica,NA,NA,NA,NA,NA,NA,4,1.7,2.7,NA,NA,NA,NA,NA,NA
